RowName,Name,Description,Image
1,HCL,"Be careful spilling elements
-Wear a lab coat.
-Wear gloves.
-Wear closed tie shoe.
-Wear Goggles.
-Work Carfully to avoid spills.",Texture2D'/Game/L0_Safety_Lab/Textures/BUMP.BUMP'
2,HCL,"Be careful spilling elements
-Wear a lab coat.
-Wear gloves.
-Wear closed tie shoe.
-Wear Goggles.
-Work Carfully to avoid spills.",Texture2D'/Game/L0_Safety_Lab/Textures/BUMP.BUMP'
3,Bromine,"Warning to breathe posion gas
-open the room window.                                                         
-if started couching leave room.
-inform the teacher.
-Wear a face mask.",Texture2D'/Game/L0_Safety_Lab/Textures/BUMP.BUMP'
4,Bromine,"Be careful spilling elements
-Wear a lab coat.
-Wear gloves.
-Wear closed tie shoe.
-Wear Goggles.
-Work Carfully to avoid spills.",Texture2D'/Game/L0_Safety_Lab/Textures/BUMP.BUMP'
5,H2SO4,"Warning to breathe posion gas
-open the room window.                                                         
-if started couching leave room.
-inform the teacher.
-Wear a face mask.",Texture2D'/Game/L0_Safety_Lab/Textures/BUMP.BUMP'
6,H2SO4,"Be careful spilling elements
-Wear a lab coat.
-Wear gloves.
-Wear closed tie shoe.
-Wear Goggles.
-Work Carfully to avoid spills.",Texture2D'/Game/L0_Safety_Lab/Textures/BUMP.BUMP'
7,NAOH,"Warning to breathe posion gas
-open the room window.                                                         
-if started couching leave room.
-inform the teacher.
-Wear a face mask.",Texture2D'/Game/L0_Safety_Lab/Textures/BUMP.BUMP'
8,NAOH,"Be careful spilling elements
-Wear a lab coat.
-Wear gloves.
-Wear closed tie shoe.
-Wear Goggles.
-Work Carfully to avoid spills.",Texture2D'/Game/L0_Safety_Lab/Textures/BUMP.BUMP'
9,Lodine,"Warning to breathe posion gas
-open the room window.                                                         
-if started couching leave room.
-inform the teacher.
-Wear a face mask.",Texture2D'/Game/L0_Safety_Lab/Textures/BUMP.BUMP'
10,Lodine,"Be careful spilling elements
-Wear a lab coat.
-Wear gloves.
-Wear closed tie shoe.
-Wear Goggles.
-Work Carfully to avoid spills.",Texture2D'/Game/L0_Safety_Lab/Textures/BUMP.BUMP'
